Date,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,fdbb,fdbs,fdb,aof,aofvalue,aoaz,aobz,zlc,zlcb,zlcs,aocolor,accolor,zcol,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,tmax,tmin,p,l,target,vector_ao_fdbs,vector_ao_fdbb
2012-09-12 21:00:00,6309,1438.65,1464.65,1435.65,1457.65,1450.15,0.0463874174,0.0502724796,1398.9078591774,1406.7746809488,1417.6324311368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0463874174,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-13 21:00:00,4778,1457.65,1475.15,1457.65,1466.35,1466.4,0.0524866649,0.053681357,1399.2918700099,1410.3653458302,1420.2059449095,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0.0,1.0,-1.0,0.0,0.0524866649,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,1354.15,1593.15,0.0,17.5,-175.0,"[0.0113448251, 0.0244264756, 0.0321661362, 0.0315651974, 0.0259966855, 0.016059667, 0.0088530822, 0.0044808315, 0.0084351396, 0.0200851143, 0.0346578791, 0.0467061395, 0.0587693766, 0.0608534734, 0.056149864, 0.0480039613, 0.0365234102, 0.0241255382, 0.0188790246, 0.0179982094, 0.0185097561, 0.0242837292, 0.033667547, 0.036923568, 0.0328293217, 0.0259611159, 0.0154835334, 0.0052362171, 0.0045098488, 0.0128106664, 0.0242088459, 0.035665996, 0.0414413731, 0.0419009696, 0.0427794447, 0.0455922499, 0.0492259637, 0.0560440913, 0.0588030741, 0.0569253745, 0.0554117952, 0.0532284779, 0.0525896295, 0.0549110129, 0.0570203828, 0.0587118101, 0.0590431688, 0.0564582897, 0.0507030375, 0.0469331297, 0.0408680476, 0.0370995438, 0.0323210511, 0.029849433, 0.0247583023, 0.0211821551, 0.0176916557, 0.0202554739, 0.025760803, 0.0300820394, 0.034094382, 0.0400087614, 0.0463874174, 0.0524866649]",[]
2012-09-16 21:00:00,3511,1466.35,1466.35,1457.85,1461.35,1462.1,0.0583266289,0.0545450014,1399.634803086,1413.1009276014,1423.1947559276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0583266289,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-17 21:00:00,4764,1461.35,1463.65,1456.35,1461.55,1460.0,0.0639522394,0.0529810477,1401.1128951563,1415.2758116512,1428.5858047421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0639522394,1,0,0.0,0.0,0.0,green,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-18 21:00:00,4749,1461.55,1466.05,1458.15,1458.65,1462.1,0.0682655195,0.046932152,1403.7580570674,1417.7600851948,1436.1486437937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,0.0682655195,1,0,0.0,0.0,0.0,green,red,gray,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1354.15,1593.15,0.0,7.9,-79.0,"[0.0113448251, 0.0244264756, 0.0321661362, 0.0315651974, 0.0259966855, 0.016059667, 0.0088530822, 0.0044808315, 0.0084351396, 0.0200851143, 0.0346578791, 0.0467061395, 0.0587693766, 0.0608534734, 0.056149864, 0.0480039613, 0.0365234102, 0.0241255382, 0.0188790246, 0.0179982094, 0.0185097561, 0.0242837292, 0.033667547, 0.036923568, 0.0328293217, 0.0259611159, 0.0154835334, 0.0052362171, 0.0045098488, 0.0128106664, 0.0242088459, 0.035665996, 0.0414413731, 0.0419009696, 0.0427794447, 0.0455922499, 0.0492259637, 0.0560440913, 0.0588030741, 0.0569253745, 0.0554117952, 0.0532284779, 0.0525896295, 0.0549110129, 0.0570203828, 0.0587118101, 0.0590431688, 0.0564582897, 0.0507030375, 0.0469331297, 0.0408680476, 0.0370995438, 0.0323210511, 0.029849433, 0.0247583023, 0.0211821551, 0.0176916557, 0.0202554739, 0.025760803, 0.0300820394, 0.034094382, 0.0400087614, 0.0463874174, 0.0524866649, 0.0583266289, 0.0639522394, 0.0682655195]",[]
2012-09-19 21:00:00,5704,1458.65,1462.15,1450.65,1461.15,1456.4,0.0666906293,0.0214561247,1405.9497449853,1421.8088245455,1441.3389150349,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0666906293,1,0,0.0,0.0,0.0,red,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-20 21:00:00,4506,1461.15,1468.15,1457.65,1458.85,1462.9,0.0624222793,-0.0068224095,1407.8382261403,1427.3827214773,1445.0711320279,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,0.0624222793,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1354.15,1593.15,0.0,10.5,-105.0,"[0.0113448251, 0.0244264756, 0.0321661362, 0.0315651974, 0.0259966855, 0.016059667, 0.0088530822, 0.0044808315, 0.0084351396, 0.0200851143, 0.0346578791, 0.0467061395, 0.0587693766, 0.0608534734, 0.056149864, 0.0480039613, 0.0365234102, 0.0241255382, 0.0188790246, 0.0179982094, 0.0185097561, 0.0242837292, 0.033667547, 0.036923568, 0.0328293217, 0.0259611159, 0.0154835334, 0.0052362171, 0.0045098488, 0.0128106664, 0.0242088459, 0.035665996, 0.0414413731, 0.0419009696, 0.0427794447, 0.0455922499, 0.0492259637, 0.0560440913, 0.0588030741, 0.0569253745, 0.0554117952, 0.0532284779, 0.0525896295, 0.0549110129, 0.0570203828, 0.0587118101, 0.0590431688, 0.0564582897, 0.0507030375, 0.0469331297, 0.0408680476, 0.0370995438, 0.0323210511, 0.029849433, 0.0247583023, 0.0211821551, 0.0176916557, 0.0202554739, 0.025760803, 0.0300820394, 0.034094382, 0.0400087614, 0.0463874174, 0.0524866649, 0.0583266289, 0.0639522394, 0.0682655195, 0.0666906293, 0.0624222793]",[]
2012-09-23 21:00:00,3511,1458.85,1461.35,1451.85,1459.15,1456.6,0.0579948022,-0.0265372817,1409.9391318218,1431.7223812926,1448.4769056223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0579948022,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-24 21:00:00,4384,1459.15,1463.85,1442.15,1444.85,1453.0,0.0532584313,-0.0382800521,1413.0322755278,1435.2570836311,1450.0615244979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0532584313,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-25 21:00:00,4442,1444.85,1446.65,1431.15,1436.15,1438.9,0.0441877194,-0.057515921,1417.1374851026,1438.6124481772,1452.6292195983,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0441877194,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
