Date,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,fdbb,fdbs,fdb,aof,aofvalue,aoaz,aobz,zlc,zlcb,zlcs,aocolor,accolor,zcol,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow
2021-04-06 21:00:00,252266,1.38233,1.383995,1.372435,1.373695,1.378215,-0.0141613945,0.0708630809,1.3845113103,1.3807263658,1.3801968508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0141613945,0,1,0.0,0.0,0.0,green,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-07 21:00:00,204108,1.373695,1.37826,1.37184,1.373435,1.37505,-0.0209990161,0.0217951205,1.3837392865,1.3810311951,1.3814234807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0209990161,0,1,0.0,0.0,0.0,red,red,gray,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0
2021-04-08 21:00:00,177236,1.373435,1.375075,1.366995,1.37098,1.371035,-0.0314212356,-0.0268140017,1.3831770337,1.3812376082,1.3823487845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0314212356,0,1,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
2021-04-10 21:00:00,28,1.37098,1.37144,1.370505,1.3711,1.3709725,-0.0472376639,-0.0690712834,1.382866108,1.3818741572,1.3815220276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0472376639,0,1,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-11 21:00:00,167169,1.3711,1.377685,1.3669,1.37447,1.3722925,-0.0603821042,-0.0831665722,1.3828890997,1.3823961375,1.3802276221,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1.0,0.0,1.0,0.0,-0.0603821042,0,1,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-12 21:00:00,210331,1.37447,1.3769,1.369425,1.375215,1.3731625,-0.0627711425,-0.0592899233,1.3828732074,1.3818734953,1.3783890977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0627711425,0,1,0.0,0.0,0.0,red,green,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-13 21:00:00,186372,1.375215,1.380875,1.37484,1.37792,1.3778575,-0.0579444414,-0.0195141749,1.3831391145,1.3810205584,1.3769057781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0579444414,0,1,0.0,0.0,0.0,green,green,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-14 21:00:00,200976,1.37792,1.38091,1.376155,1.37875,1.3785325,-0.0474834357,0.0250078501,1.3833630288,1.3797723636,1.3759831225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0474834357,0,1,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-15 21:00:00,201666,1.37875,1.38451,1.3716,1.38394,1.378055,-0.0373785059,0.0514899827,1.3829670266,1.3786723807,1.375418998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0373785059,0,1,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-17 21:00:00,27,1.38394,1.384245,1.38281,1.383395,1.3835275,-0.0223842496,0.0755677737,1.3823580245,1.3778748956,1.3759066984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0223842496,0,1,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-18 21:00:00,224173,1.383395,1.399295,1.380975,1.39868,1.390135,-0.0007272878,0.1056807528,1.3814870226,1.3772858461,1.3764318587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0007272878,0,1,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-19 21:00:00,189395,1.39868,1.40091,1.39262,1.393755,1.396765,0.0233766077,0.1312075064,1.3806782132,1.3773573029,1.376756487,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,0.0233766077,1,0,1.0,1.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-20 21:00:00,174308,1.393755,1.394985,1.38855,1.392665,1.3917675,0.0407188457,0.1302364797,1.3800331584,1.3775042025,1.3781106896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0407188457,1,0,0.0,0.0,0.0,green,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-21 21:00:00,198179,1.392665,1.394975,1.38236,1.38398,1.3886675,0.0549930984,0.116560663,1.3795046462,1.3775730522,1.3805155517,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0549930984,1,0,0.0,0.0,0.0,green,red,gray,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
