Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,mfi_str_D1,mfi_str_M1,mfi_str_W1,zcol_D1,zcol_M1,zcol_W1
2025-06-06 01:00:00,3359.3,3374.62,3355.98,3373.67,3359.6,3374.92,3356.28,3373.97,58500,3359.45,3374.77,3356.13,3373.82,3365.45,0.14400216806,-0.16260439805,3344.760857062,3360.64485074633,3369.77876447625,3250.43065608696,3285.09797532165,3300.50193245826,2838.34496977116,3030.31908624908,3172.48309343436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.86324786325,0,0,0,1,0,0,0,0,gray,0,0,0,0,0,0,0,1,0,0,0,1,+-,-+,--,+-,green,green,red
2025-06-06 05:00:00,3373.67,3375.58,3352.63,3365.32,3373.97,3375.88,3352.93,3365.62,74333,3373.82,3375.73,3352.78,3365.47,3364.255,0.10142239412,-0.18447877256,3347.24329113415,3364.17424440304,3366.857011581,3251.45379478262,3285.74237577035,3302.75011091537,2839.39056003702,3031.48737343256,3172.52020736884,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.87457791291,0,0,0,1,0,0,0,0,gray,0,0,0,0,0,0,0,1,0,0,0,1,+-,-+,--,+-,green,green,red
2025-06-06 09:00:00,3365.32,3365.37,3343.5,3353.21,3365.62,3365.67,3343.8,3353.51,111387,3365.47,3365.52,3343.65,3353.36,3354.585,0.08058166514,-0.15447247704,3349.30803796999,3364.15371385266,3365.1741092648,3252.33571843674,3286.28015075634,3305.11187235904,2840.42895377697,3032.7138010144,3172.66426842878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.63424816181,0,0,0,1,0,0,0,0,gray,0,0,0,0,0,0,0,1,0,0,0,1,+-,-+,--,+-,green,green,red
2025-06-06 13:00:00,3353.21,3360.88,3316.39,3322.67,3353.51,3361.18,3316.69,3322.97,218625,3353.36,3361.03,3316.54,3322.82,3338.785,0.05171295548,-0.15649267768,3350.83472735691,3363.03074962108,3365.22928741184,3253.29335081386,3286.65751165168,3306.9821114073,2841.44370456271,3033.9618104521,3173.02330128691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.34991423671,0,0,0,1,0,0,0,0,gray,0,0,0,0,0,0,0,0,1,0,0,4,++,-+,--,+-,green,green,red
2025-06-06 17:00:00,3322.67,3326.68,3306.91,3311.04,3322.97,3326.98,3307.21,3311.34,58640,3322.82,3326.83,3307.06,3311.19,3316.945,-0.00935700438,-0.2338760521,3353.76128679099,3362.45721841844,3365.03442992947,3254.29221765865,3286.83219325802,3308.52410813062,2842.47611516069,3035.23599796089,3173.3974797502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.71418826739,0,0,0,0,1,-1,0,1,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,-+,--,+-,green,green,red
2025-06-08 21:00:00,3311.04,3321.12,3297.87,3305.43,3311.34,3321.63,3298.41,3305.73,38223,3311.19,3321.375,3298.14,3305.58,3309.7575,-0.0887256909,-0.32633169777,3354.54964934553,3362.83131611614,3362.94454394358,3255.32486128046,3286.97806247151,3309.9256049503,2843.49702732206,3036.62323616707,3173.79083058526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.78800722078,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,--,--,++,gray,green,red
2025-06-09 01:00:00,3305.43,3313.4,3293.41,3311.62,3305.73,3313.7,3293.71,3311.92,67629,3305.58,3313.55,3293.56,3311.77,3303.555,-0.17468172544,-0.41290616722,3354.59736862665,3363.00927660162,3358.11263515486,3256.26570553574,3287.03364315384,3311.05058715765,2844.48555642731,3038.04009996034,3174.24273453953,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,29.55832557039,1,0,1,0,1,0,0,0,red,-1,1,0,0,0,0,0,1,0,0,0,1,+-,--,--,++,gray,green,red
2025-06-09 05:00:00,3311.62,3328.49,3309.47,3319.69,3311.92,3328.79,3309.77,3319.99,64912,3311.77,3328.64,3309.62,3319.84,3319.13,-0.22858451515,-0.3905678077,3354.89314796306,3361.95624202642,3349.87910812389,3256.90007963084,3287.1403950965,3312.2386581236,2845.44092630416,3039.51606519656,3174.62655235523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.30120778901,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,0,1,0,3,--,--,--,++,gray,green,red
2025-06-09 09:00:00,3319.69,3323.46,3312.03,3320.0,3319.99,3323.76,3312.33,3320.3,56929,3319.84,3323.61,3312.18,3320.15,3317.895,-0.2626942079,-0.30952401237,3355.70521350436,3359.05983677312,3341.85478649911,3257.37103379229,3287.20670609474,3313.51943288467,2846.40526071715,3041.04209066782,3175.01556935276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.07764056983,0,0,0,0,1,0,0,0,gray,0,0,0,0,1,0,0,0,0,1,0,3,--,--,--,++,gray,green,red
2025-06-09 13:00:00,3320.0,3337.85,3310.61,3337.6,3320.3,3338.15,3310.91,3337.9,107537,3320.15,3338.0,3310.76,3337.75,3324.38,-0.25679103184,-0.15350236269,3356.36288938864,3353.79548217648,3334.19482919929,3257.79630307552,3287.49562962029,3314.87444956453,2847.3775942431,3042.6745065877,3175.34457581559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.33081637018,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,1,0,0,4,++,--,--,++,gray,green,red
