Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,mfi_str_M1,mfi_str_W1,mfi_str_D1,zcol_M1,zcol_W1,zcol_D1
2025-04-21 13:00:00,1.37931,1.38419,1.37849,1.38383,1.37936,1.38424,1.37854,1.38388,52956,1.379335,1.384215,1.378515,1.383855,1.381365,-0.26992117844,-0.28038159291,1.38945730803,1.38646221078,1.38403870883,1.4299711994,1.41957721906,1.40643158964,1.42665611183,1.43089381429,1.43305167415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01076365284,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,1,0,0,4,++,++,-+,+-,gray,red,gray
2025-04-21 17:00:00,1.38383,1.38495,1.38257,1.38389,1.38388,1.38498,1.38262,1.38468,30342,1.383855,1.384965,1.382595,1.384285,1.38378,-0.25511670317,-0.0963382408,1.3891723228,1.38593912193,1.38317546706,1.4299243039,1.4189535878,1.40599838112,1.4266754126,1.43090018204,1.43308978752,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00781095511,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,0,1,0,3,--,++,-+,+-,gray,red,gray
2025-04-21 21:00:00,1.38389,1.38458,1.38282,1.3838,1.38468,1.38504,1.38287,1.38386,17476,1.384285,1.38481,1.382845,1.38383,1.3838275,-0.22628307769,0.09738013707,1.38880483643,1.38530048169,1.38250737365,1.42984301959,1.41835915893,1.40552298756,1.42670554413,1.43090872203,1.43311029247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01124399176,0,0,0,0,1,0,0,0,green,1,0,1,0,0,0,0,0,0,0,1,2,-+,++,-+,+-,gray,red,gray
2025-04-22 01:00:00,1.3838,1.3838,1.38006,1.38045,1.38386,1.38386,1.3801,1.38051,26390,1.38383,1.38383,1.38008,1.38048,1.381955,-0.19861781087,0.21294347873,1.3884371567,1.38460323398,1.38227889892,1.429756216,1.41781926514,1.40499789969,1.42674684905,1.4309154979,1.43310345016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014209928,0,0,0,0,1,0,0,0,green,1,0,1,0,0,0,0,0,1,0,0,4,++,++,-+,+-,gray,red,gray
2025-04-22 05:00:00,1.38045,1.38212,1.37929,1.3818,1.38051,1.38219,1.37932,1.38182,46104,1.38048,1.382155,1.379305,1.38181,1.38073,-0.18118279094,0.22837456492,1.38796333696,1.38400720473,1.38257911914,1.4296343484,1.41728509668,1.40444457911,1.42679106829,1.43092356443,1.43308097828,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00618167621,1,0,1,0,1,0,0,0,green,1,0,1,0,0,0,0,1,0,0,0,1,+-,++,-+,+-,gray,red,gray
2025-04-22 09:00:00,1.3818,1.38618,1.38169,1.38463,1.38182,1.38621,1.38174,1.38469,39501,1.38181,1.386195,1.381715,1.38466,1.383955,-0.15240729905,0.25510888008,1.38741461873,1.38367692914,1.38282879531,1.42949519842,1.41677286765,1.40396076796,1.42683638375,1.43093800192,1.43305999927,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01134148503,0,0,0,0,1,0,0,0,green,1,0,1,0,0,0,0,0,0,0,1,2,-+,++,-+,+-,gray,red,gray
2025-04-22 13:00:00,1.38463,1.38575,1.3797,1.38073,1.38469,1.38581,1.37973,1.38076,54713,1.38466,1.38578,1.379715,1.380745,1.3827475,-0.15535947407,0.13898037698,1.38682291729,1.383689813,1.38265403625,1.42931092653,1.41623940642,1.40349442184,1.42688324348,1.43096452338,1.43304265552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01108511688,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,1,0,1,0,0,0,1,+-,++,-+,+-,gray,red,gray
2025-04-22 17:00:00,1.38073,1.38332,1.37992,1.38079,1.38076,1.38333,1.37996,1.38194,34852,1.380745,1.383325,1.37994,1.381365,1.3816325,-0.16814696675,0.01519015568,1.38628538519,1.38370702387,1.382269229,1.42908557904,1.41569759903,1.40305980649,1.42692894442,1.43098587735,1.43303263708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00971249857,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,0,0,1,0,3,--,++,-+,+-,gray,red,gray
2025-04-22 21:00:00,1.38079,1.38605,1.38064,1.38282,1.38194,1.38616,1.38181,1.38289,43688,1.381365,1.386105,1.381225,1.382855,1.383665,-0.14719928824,0.06925983073,1.38590689402,1.38348802089,1.3826063832,1.42886088152,1.41520514268,1.40256326807,1.42696968993,1.4309921826,1.43302230627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01117011536,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,1,0,0,4,++,++,-+,++,gray,red,gray
2025-04-23 01:00:00,1.38282,1.3847,1.38193,1.38333,1.38289,1.38476,1.38202,1.38336,30486,1.382855,1.38473,1.381975,1.383345,1.3833525,-0.11383819402,0.17011936312,1.38574328679,1.38314326828,1.38263460656,1.42861935476,1.414781731,1.40201626018,1.42701061913,1.4309978492,1.43299959928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00903693499,0,0,0,0,1,0,0,0,green,1,0,1,0,0,0,0,0,0,1,0,3,--,++,-+,++,gray,red,gray
